graph_order,acronym,name,DHBA_name,DHBA_acronym,DHBA_id,color_hex_triplet,uDHBA_id,r,g,b,a,vis,msh,acronym
0,CNS,central nervous system (neural tube),neural tube,NT,DHBA:10154,#D0D0D1,501,60,180,75,1,1,1,CNS
1,Br,brain,brain,Br,DHBA:10155,#E0E0E0,502,128,128,0,1,1,1,Br
2,BGM,gray matter of brain,,,DHBA:AA30000,,503,0,130,200,1,1,1,BGM
3,FB,forebrain (prosencephalon),forebrain (prosencephalon),F,DHBA:10156,#EBD6D0,84,0,0,128,1,1,1,FB
4,Tel,telencephalon,telencephalon,Tel,DHBA:10158,#EBD6D0,504,230,25,75,1,1,1,Tel
5,Cx,cerebral cortex,cerebral cortex,Cx,DHBA:10159,#E9CCC2,505,0,0,128,1,1,1,Cx
6,NCx,neocortex (isocortex),neocortex (isocortex),NCx,DHBA:10160,#E9CCC2,506,255,215,180,1,1,1,NCx
7,NCxSe,segmentation of neocortex,,,DHBA:AA30001,,507,0,0,128,1,1,1,NCxSe
8,FCx,frontal cortex,frontal neocortex,FCx,DHBA:10161,#F2E5BB,508,0,128,128,1,1,1,FCx
9,PFC,prefrontal cortex,prefrontal cortex,PFC,DHBA:10172,#EEE0A8,509,240,50,230,1,1,1,PFC
10,A10,"frontal polar cortex (FP, area 10)",frontal polar cortex (area 10),A10,DHBA:10190,#DEBD3E,510,0,0,128,1,1,1,A10
11,A10m,medial subdivision of area 10,medial subdivision of area 10,A10m,DHBA:10191,#DEBD3E,511,60,180,75,1,1,1,A10m
12,A10l,lateral subdivision of area 10,lateral subdivision of area 10,A10l,DHBA:10192,#DEBD3E,512,220,190,255,1,1,1,A10l
13,A10o,orbital subdivision of area 10,orbital subdivision of area 10,A10o,DHBA:10193,#DEBD3E,513,170,255,195,1,1,1,A10o
14,DFC,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex,DFC,DHBA:10173,#D4B235,514,0,0,128,,1,1,DFC
15,A8,"caudal portion of DFC (area 8, area FC)",caudal portion of DFC (area 8),A8,DHBA:10174,#D4B235,515,255,225,25,1,1,1,A8
16,A8ld,laterodorsal subdivision of area 8,laterodorsal subdivision of area 8,A8ld,DHBA:10175,#D4B235,516,220,190,255,1,1,1,A8ld
17,A8lv,lateroventral subdivision of area 8,lateroventral subdivision of area 8,A8lv,DHBA:10176,#D4B235,517,60,180,75,1,1,1,A8lv
18,A8m,medial subdivision of area 8,medial subdivision of area 8,A8m,DHBA:10177,#D4B235,518,128,128,128,1,1,1,A8m
19,A9,rostrodorsal portion of DFC (area 9),rostrodorsal portion of DFC (area 9),A9,DHBA:10178,#D4B235,519,0,0,128,1,1,1,A9
20,A9l,lateral subdivision of area 9,lateral subdivision of area 9,A9l,DHBA:10179,#D4B235,520,210,245,60,1,1,1,A9l
21,A9m,medial subdivision of area 9,medial subdivision of area 9,A9m,DHBA:10180,#D4B235,521,255,215,180,1,1,1,A9m
22,A9/46,intermediate portion of DFC (area 9/46),intermediate portion of DFC (area 9/46),A9/46,DHBA:10181,#D4B235,522,255,215,180,1,1,1,A9/46
23,A9/46d,dorsal subdivision of A9/46,dorsal subdivision of A9/46,A9/46d,DHBA:10182,#D4B235,523,255,215,180,1,1,1,A9/46d
24,A9/46v,ventral subdivision of A9/46,ventral subdivision of A9/46,A9/46v,DHBA:10183,#D4B235,524,60,180,75,1,1,1,A9/46v
25,A46,rostroventral portion of DFC (area 46),rostroventral portion of DFC (area 46),A46,DHBA:10184,#D4B235,525,255,225,25,1,1,1,A46
26,A46d,dorsal subdivision of area 46,dorsal subdivision of area 46,A46d,DHBA:10863,#D4B235,526,245,130,48,1,1,1,A46d
27,A46v,ventral subdivision of area 46,ventral subdivision of area 46,A46v,DHBA:10870,#D4B235,527,0,130,200,1,1,1,A46v
28,VFC,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),ventrolateral prefrontal cortex,VFC,DHBA:10185,#C2A335,528,0,130,200,1,1,1,VFC
29,A44,caudal portion of VFC (area 44),caudal portion of VFC (area 44),A44,DHBA:10186,#C2A335,529,128,128,128,1,1,1,A44
30,A44d,dorsal subdivision of area 44,dorsal subdivision of area 44,A44d,DHBA:266441105,#C2A335,530,255,225,25,1,1,1,A44d
31,A44v,ventral subdivision of area 44,ventral subdivision of area 44,A44v,DHBA:266441133,#C2A335,531,128,0,0,1,1,1,A44v
32,A44op,opercular subdivision of area 44,opercular subdivision of area 44,A44op,DHBA:266441161,#C2A335,532,70,240,240,1,1,1,A44op
33,A45,rostral portion of VFC (area 45),rostral portion of VFC (area 45),A45,DHBA:10187,#C2A335,533,70,240,240,1,1,1,A45
34,A45r,rostral subdivision of A45,rostral subdivision of A45,A45r,DHBA:10188,#C2A335,534,255,215,180,1,1,1,A45r
35,A45c,caudal subdivision of A45,caudal subdivision of A45,A45c,DHBA:10189,#C2A335,535,170,110,40,1,1,1,A45c
36,A45op,opercular subdivision of A45,opercular subdivision of A45,A45op,DHBA:266441189,#C2A335,536,255,250,200,1,1,1,A45op
37,OFC,orbital frontal cortex,orbital frontal cortex,OFC,DHBA:10194,#E2D4A7,537,128,0,0,1,1,1,OFC
38,A14,medial orbital frontal cortex (area 14),medial orbital frontal cortex (area 14),OFCm,DHBA:10195,#B8A26D,538,220,190,255,1,1,1,A14
39,A14r,rostral subdivision of area 14,rostral subdivision of area 14,A14r,DHBA:10196,#B8A26D,539,0,128,128,1,1,1,A14r
40,A14c,caudal subdivision of area 14,caudal subdivision of area 14,A14c,DHBA:10197,#B8A26D,540,60,180,75,1,1,1,A14c
41,A11/13,"intermediate orbital frontal cortex (OFCi, area 11/13)",intermediate orbital frontal cortex,OFCi,DHBA:10198,#CAB781,541,145,30,180,1,1,1,A11/13
42,A11,rostral intermediate orbital frontal cortex (area 11),rostral division of OFCi (area 11),A11,DHBA:10199,#CAB781,542,255,225,25,1,1,1,A11
43,A11m,medial subdivision of area 11,medial subdivision of area 11,A11m,DHBA:10200,#CAB781,543,255,225,25,1,1,1,A11m
44,A11l,lateral subdivision of area 11,lateral subdivision of area 11,A11l,DHBA:10201,#CAB781,544,0,128,128,1,1,1,A11l
45,A13,caudal intermediate orbital frontal cortex (area 13),caudal division of OFCi (area 13),A13,DHBA:10202,#CAB781,545,60,180,75,1,1,1,A13
46,A13m,medial subdivision of area 13,medial subdivision of area 13,A13m,DHBA:10203,#CAB781,546,128,128,128,1,1,1,A13m
47,A13l,lateral subdivision of area 13,lateral subdivision of area 13,A13l,DHBA:10204,#CAB781,547,170,255,195,1,1,1,A13l
48,A12/47,"lateral orbital frontal cortex (OFCl, area 12/47)",lateral orbital frontal cortex (area 12/47),OFCl,DHBA:10205,#AB9158,548,255,225,25,1,1,1,A12/47
49,A12/47r,rostral subdivision of area 12/47,,,DHBA:AA30002,,549,128,128,128,1,1,1,A12/47r
50,A12/47c,caudal subdivision of area 12/47,,,DHBA:AA30003,,550,145,30,180,1,1,1,A12/47c
51,A12/47m,medial subdivision of area 12/47,medial subdivision of area 12/47,A12/47m,DHBA:10206,#AB9158,551,145,30,180,1,1,1,A12/47m
52,A12/47l,lateral subdivision of area 12/47,lateral subdivision of area 12/47,A12/47l,DHBA:10207,#AB9158,552,170,110,40,1,1,1,A12/47l
53,GuO,orbital gustatory cortex ,,,DHBA:AA30004,,553,170,255,195,1,1,1,GuO
54,OFI,orbitofrontal insular cortex,,,DHBA:AA30005,,554,255,215,180,1,1,1,OFI
55,OFIm,medial division of orbitofrontal insular cortex,,,DHBA:AA30006,,555,210,245,60,1,1,1,OFIm
56,OFIi,intermediate division of orbitofrontal insular cortex,,,DHBA:AA30007,,556,230,25,75,1,1,1,OFIi
57,OFIl,lateral division of orbitofrontal insular cortex,,,DHBA:AA30008,,557,128,0,0,1,1,1,OFIl
58,MoC,frontal motor cortex (posterior frontal cortex),,,DHBA:AA30009,,558,128,128,0,1,1,1,MoC
59,M1/A4,"primary motor cortex (area M1, area 4, area FA)","primary motor cortex (area M1, area 4)",M1C,DHBA:10163,#EDCF37,559,170,255,195,1,1,1,M1/A4
60,A6,"premotor cortex (area 6, area FB, secondary motor cortex)",premotor cortex (area 6),PMC,DHBA:10168,#FDD92E,560,245,130,48,1,1,1,A6
61,A6ld,laterodorsal subdivision of area 6,laterodorsal subdivision of area 6,A6ld,DHBA:10169,#FDD92E,561,60,180,75,1,1,1,A6ld
62,FEF,frontal eye field of promotor cortex,,,DHBA:AA30010,,562,255,225,25,1,1,1,FEF
63,A55b,area 55b of promotor cortex,,,DHBA:AA30011,,563,170,255,195,1,1,1,A55b
64,A6lv,lateroventral subdivision of area 6,lateroventral subdivision of area 6,A6lv,DHBA:10170,#FDD92E,564,70,240,240,1,1,1,A6lv
65,A6m/SMA,medial subdivision of area 6 (supplementary motor area),,,DHBA:AA30012,,565,240,50,230,1,1,1,A6m/SMA
66,A6mv,medioventral subdivision of area 6,area 6/32,A6/32,DHBA:266441217,#FDD92E,566,255,225,25,1,1,1,A6mv
67,PCx,parietal cortex,parietal neocortex,PCx,DHBA:10208,#F0DABE,567,60,180,75,1,1,1,PCx
68,S1C,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)","primary somatosensory cortex (area S1, areas 3,1,2)",S1C,DHBA:10209,#EC813B,568,0,130,200,1,1,1,S1C
69,S1-A3,area 3 of S1C,,,DHBA:AA30013,,569,210,245,60,1,1,1,S1-A3
70,S1-A1,area 1 of S1C,,,DHBA:AA30014,,570,145,30,180,1,1,1,S1-A1
71,S1-A2,area 2 of S1C,,,DHBA:AA30015,,571,0,0,128,1,1,1,S1-A2
72,A43/S2,subcentral cortex (area 43; secondary somatosensory cortex),"subcentral cortex (gustatory cortex, area 43)",ScC,DHBA:13010,#EDC38D,572,128,0,0,1,1,1,A43/S2
73,A43r,rostral part of subcentral cortex (area 43),,,DHBA:AA30016,,573,245,130,48,1,1,1,A43r
74,A43c,caudal part of subcentral cortex (area 43),,,DHBA:AA30017,,574,170,255,195,1,1,1,A43c
75,PPC,posterior parietal cortex,posterior parietal cortex,PoPC,DHBA:10214,#F0D0A6,575,170,110,40,1,1,1,PPC
76,SPC,superior-medial parietal cortex,posterodorsal (superior) parietal cortex,SPC,DHBA:10215,#E49C33,576,60,180,75,1,1,1,SPC
77,A5,"rostral division of SPC (area 5, area PE)",rostral division of SPC (area 5),A5,DHBA:10216,#E49C33,577,170,110,40,1,1,1,A5
78,A5ci,cingulate subdivision of area 5,cingulate subdivision of area 5,A5ci,DHBA:10217,#E49C33,578,145,30,180,1,1,1,A5ci
79,A5l,lateral subdivision of area 5,lateral subdivision of area 5,A5l,DHBA:10218,#E49C33,579,128,128,0,1,1,1,A5l
80,A5m,medial subdivision of area 5,medial subdivision of area 5,A5m,DHBA:10219,#E49C33,580,250,190,212,1,1,1,A5m
81,A7,"caudal division of SPC (area 7, area PEc)",caudal division of SPC (area 7),A7,DHBA:10220,#E49C33,581,250,190,212,1,1,1,A7
82,A7r,rostral subdivision of area 7,rostral subdivision of area 7,A7r,DHBA:10221,#E49C33,582,240,50,230,1,1,1,A7r
83,A7m,medial subdivision of area 7,medial subdivision of area 7,A7m,DHBA:10222,#E49C33,583,245,130,48,1,1,1,A7m
